site_name	lab_id	context	material	taxon	age	error	d13c
Bolsay Farm	AA-21631	4 (Trench II, 1992)	wood charcoal	Salix	4740	50	-27.9
Bolsay Farm	AA-21632	4 (Trench II, 1992)	wood charcoal	Corylus	7400	55	-24.3
Bolsay Farm	AA-21633	4 (Trench II, 1992)	wood charcoal	Alnus	6810	55	-26.2
Bolsay Farm	AA-21634	5 (Trench II, 1992)	wood charcoal	Salix	4460	50	-26.9
Bolsay Farm	AA-21635	5 (Trench II, 1992)	wood charcoal	Betula	4290	45	-27.6
Bolsay Farm	AA-21636	5 (Trench II, 1992)	wood charcoal	Alnus	3930	45	-26.2
Bolsay Farm	AA-21637	5 (Trench II, 1992)	wood charcoal	Quercus	4200	55	-27.6
Bolsay Farm	AA-21638	5 (Trench II, 1992)	wood charcoal		4640	55	-30.1
Bolsay Farm	Beta-32236	3 (Test pit M135, 1989)	wood charcoal		3525	80	
Bolsay Farm	Q-3219	16 (Trench I, 1990)	wood charcoal		7250	145	
Coulererach	OxA-4921	Core CA, COUL2, 10-12 cm	ericaceous twigs		4010	75	-30.6
Coulererach	OxA-4922	Core CA, COUL2, 39-42 cm	monocotyledon leaf/stem		3860	110	-29.2
Coulererach	OxA-4923	Core CA, COUL3, 79-81 cm	twig		4895	80	-31.1
Coulererach	OxA-5040	Core CA, COUL4, 100-102 cm	monocotyledon leaf/stem		4615	70	-27.1
Coulererach	OxA-5153	Core CA, COUL5, 118-120 cm	bulk organic		4700	100	-27.1
Coulererach	OxA-4924	Core CA, COUL6, lower artefact-bearing horizon sealed below peat			7530	80	-26.4
Gleann Mor	Beta-32228	Trench 1, spit 2	wood charcoal		7100	125	
Gleann Mor	Beta-32237	Trench 1, spit 2	wood charcoal		3390	90	
Rockside	Beta-37624	Trench 1, Context 10	wood charcoal		6800	40	-25.0
Rockside	Beta-37625	Trench 1, Context 9	wood charcoal		3980	150	-25.0
Rockside	Beta-37626	Trench 1, Context 8	wood charcoal		3420	80	-25.0
Staosnaig	AA-21618	17 (1054)	cereal grain	Poaceae	3455	60	-27.0
Staosnaig	AA-21619	17 (1054)	hazelnut shell fragment	Corylus avellana	7760	55	-24.9
Staosnaig	AA-21620	17 (4006)	hazelnut shell fragment	Corylus avellana	7040	55	-25.5
Staosnaig	AA-21621	17 (2026)	hazelnut shell fragment	Corylus avellana	7780	55	-25.6
Staosnaig	AA-21622	17 (3017)	hazelnut shell fragment	Corylus avellana	7660	55	-25.7
Staosnaig	AA-21623	17 (2033)	hazelnut shell fragment	Corylus avellana	7665	55	-27.6
Staosnaig	AA-21624	17 (2027)	hazelnut shell fragment	Corylus avellana	7935	55	-25.1
Staosnaig	AA-21625	57	hazelnut shell fragment	Corylus avellana	7780	55	-25.5
Staosnaig	AA-21626	42	hazelnut shell fragment	Corylus avellana	7480	55	-26.6
Staosnaig	AA-21627	48	hazelnut shell fragment	Corylus avellana	8110	60	-25.1
Staosnaig	AA-21628	50	wood charcoal	Corylus avellana	1760	40	-26.4
Staosnaig	AA-21629	31	hazelnut shell fragment	Corylus avellana	5415	60	-23.4
Staosnaig	AA-21630	72	wood charcoal	Ericaceae	3395	60	-26.6
Staosnaig	AA-26227	17 (4006)	hazelnut shell fragment	Corylus avellana	7420	65	-24.7
Staosnaig	Q-3278	17 (trench 13)	hazelnut shell fragment	Corylus avellana	7720	110	
